"Type","Op","Num_Proc","Size","Time"
mpi_np,empty,1,33554432,0.000099293
mpi_np,arange,1,33554432,0.219491410
mpi_np,local_slicing,1,33554432,0.000001030
mpi_np,local_setting,1,33554432,0.000000638
mpi_np,global_setting,1,33554432,0.000008887
mpi_np,local_getting,1,33554432,0.000000665
mpi_np,global_getting,1,33554432,0.000179760
mpi_np,empty,2,33554432,0.000108143
mpi_np,arange,2,33554432,0.110236688
mpi_np,local_slicing,2,33554432,0.000000882
mpi_np,local_setting,2,33554432,0.000000582
mpi_np,global_setting,2,33554432,0.000008615
mpi_np,local_getting,2,33554432,0.000000547
mpi_np,global_getting,2,33554432,0.000220020
mpi_np,empty,4,33554432,0.001199636
mpi_np,arange,4,33554432,0.055523152
mpi_np,local_slicing,4,33554432,0.000000869
mpi_np,local_setting,4,33554432,0.000000535
mpi_np,global_setting,4,33554432,0.000008715
mpi_np,local_getting,4,33554432,0.000000538
mpi_np,global_getting,4,33554432,0.000463134
mpi_np,empty,8,33554432,0.000970572
mpi_np,arange,8,33554432,0.028471314
mpi_np,local_slicing,8,33554432,0.000000930
mpi_np,local_setting,8,33554432,0.000000540
mpi_np,global_setting,8,33554432,0.000008699
mpi_np,local_getting,8,33554432,0.000000568
mpi_np,global_getting,8,33554432,0.000739746
mpi_np,empty,16,33554432,0.001133080
mpi_np,arange,16,33554432,0.010285820
mpi_np,local_slicing,16,33554432,0.000000923
mpi_np,local_setting,16,33554432,0.000000557
mpi_np,global_setting,16,33554432,0.000008932
mpi_np,local_getting,16,33554432,0.000000538
mpi_np,global_getting,16,33554432,0.001298164
mpi_np,empty,32,33554432,0.001229275
mpi_np,arange,32,33554432,0.005356559
mpi_np,local_slicing,32,33554432,0.000000863
mpi_np,local_setting,32,33554432,0.000000576
mpi_np,global_setting,32,33554432,0.000009389
mpi_np,local_getting,32,33554432,0.000000547
mpi_np,global_getting,32,33554432,0.002076186
mpi_np,empty,64,33554432,0.000928761
mpi_np,arange,64,33554432,0.002663323
mpi_np,local_slicing,64,33554432,0.000000906
mpi_np,local_setting,64,33554432,0.000000588
mpi_np,global_setting,64,33554432,0.000009131
mpi_np,local_getting,64,33554432,0.000000595
mpi_np,global_getting,64,33554432,0.003576642
mpi_np,empty,128,33554432,0.000110836
mpi_np,arange,128,33554432,0.002614491
mpi_np,local_slicing,128,33554432,0.000001013
mpi_np,local_setting,128,33554432,0.000000604
mpi_np,global_setting,128,33554432,0.000009258
mpi_np,local_getting,128,33554432,0.000000635
mpi_np,global_getting,128,33554432,0.007969423
mpi_np,empty,256,33554432,0.000158506
mpi_np,arange,256,33554432,0.002103952
mpi_np,local_slicing,256,33554432,0.000000930
mpi_np,local_setting,256,33554432,0.000000609
mpi_np,global_setting,256,33554432,0.000009126
mpi_np,local_getting,256,33554432,0.000000560
mpi_np,global_getting,256,33554432,0.019996307
mpi_np,empty,512,33554432,0.001117199
mpi_np,arange,512,33554432,0.000543288
mpi_np,local_slicing,512,33554432,0.000000940
mpi_np,local_setting,512,33554432,0.000000580
mpi_np,global_setting,512,33554432,0.000009693
mpi_np,local_getting,512,33554432,0.000000562
mpi_np,global_getting,512,33554432,0.043125478
mpi_np,empty,1,33554432,0.000099724
mpi_np,arange,1,33554432,0.221301522
mpi_np,local_slicing,1,33554432,0.000001036
mpi_np,local_setting,1,33554432,0.000000627
mpi_np,global_setting,1,33554432,0.000008869
mpi_np,local_getting,1,33554432,0.000000655
mpi_np,global_getting,1,33554432,0.000182110
mpi_np,empty,2,33554432,0.000107392
mpi_np,arange,2,33554432,0.111185896
mpi_np,local_slicing,2,33554432,0.000000890
mpi_np,local_setting,2,33554432,0.000000564
mpi_np,global_setting,2,33554432,0.000008832
mpi_np,local_getting,2,33554432,0.000000563
mpi_np,global_getting,2,33554432,0.000215324
mpi_np,empty,4,33554432,0.001445519
mpi_np,arange,4,33554432,0.055871545
mpi_np,local_slicing,4,33554432,0.000000946
mpi_np,local_setting,4,33554432,0.000000566
mpi_np,global_setting,4,33554432,0.000008807
mpi_np,local_getting,4,33554432,0.000000589
mpi_np,global_getting,4,33554432,0.000446810
mpi_np,empty,8,33554432,0.001209049
mpi_np,arange,8,33554432,0.028642123
mpi_np,local_slicing,8,33554432,0.000000925
mpi_np,local_setting,8,33554432,0.000000630
mpi_np,global_setting,8,33554432,0.000009010
mpi_np,local_getting,8,33554432,0.000000590
mpi_np,global_getting,8,33554432,0.000839094
mpi_np,empty,16,33554432,0.000935139
mpi_np,arange,16,33554432,0.010330399
mpi_np,local_slicing,16,33554432,0.000001015
mpi_np,local_setting,16,33554432,0.000000628
mpi_np,global_setting,16,33554432,0.000009424
mpi_np,local_getting,16,33554432,0.000000633
mpi_np,global_getting,16,33554432,0.001099884
mpi_np,empty,32,33554432,0.000978634
mpi_np,arange,32,33554432,0.005368616
mpi_np,local_slicing,32,33554432,0.000001030
mpi_np,local_setting,32,33554432,0.000000631
mpi_np,global_setting,32,33554432,0.000009091
mpi_np,local_getting,32,33554432,0.000000650
mpi_np,global_getting,32,33554432,0.002158683
mpi_np,empty,64,33554432,0.000940530
mpi_np,arange,64,33554432,0.002713184
mpi_np,local_slicing,64,33554432,0.000000888
mpi_np,local_setting,64,33554432,0.000000562
mpi_np,global_setting,64,33554432,0.000008988
mpi_np,local_getting,64,33554432,0.000000574
mpi_np,global_getting,64,33554432,0.003709407
mpi_np,empty,128,33554432,0.000106237
mpi_np,arange,128,33554432,0.001486491
mpi_np,local_slicing,128,33554432,0.000000881
mpi_np,local_setting,128,33554432,0.000000535
mpi_np,global_setting,128,33554432,0.000009020
mpi_np,local_getting,128,33554432,0.000000548
mpi_np,global_getting,128,33554432,0.008558880
mpi_np,empty,256,33554432,0.001140145
mpi_np,arange,256,33554432,0.001904273
mpi_np,local_slicing,256,33554432,0.000001006
mpi_np,local_setting,256,33554432,0.000000590
