"Type","Op","Num_Proc","Size","Time"
mpi_np,creation,1,65536,0.008843829
mpi_np,add,1,65536,0.000358311
mpi_np,sub,1,65536,0.000182978
mpi_np,mul,1,65536,0.000172816
mpi_np,div,1,65536,0.000287322
mpi_np,max,1,65536,0.000369234
mpi_np,mean,1,65536,0.000242494
mpi_np,sum,1,65536,0.000145009
mpi_np,std,1,65536,0.000741918
mpi_np,slice,1,65536,0.000479687
mpi_np,iterate,1,65536,0.005398228
mpi_np,reshape,1,65536,0.350693747
mpi_np,creation,2,65536,0.014706018
mpi_np,add,2,65536,0.000298748
mpi_np,sub,2,65536,0.000170263
mpi_np,mul,2,65536,0.000167140
mpi_np,div,2,65536,0.000287936
mpi_np,max,2,65536,0.000412935
mpi_np,mean,2,65536,0.000282766
mpi_np,sum,2,65536,0.000158544
mpi_np,std,2,65536,0.000983688
mpi_np,slice,2,65536,0.001046994
mpi_np,iterate,2,65536,0.005341682
mpi_np,reshape,2,65536,0.379185056
mpi_np,creation,4,65536,0.036812949
mpi_np,add,4,65536,0.000518472
mpi_np,sub,4,65536,0.000190415
mpi_np,mul,4,65536,0.000179024
mpi_np,div,4,65536,0.000289387
mpi_np,max,4,65536,0.000480452
mpi_np,mean,4,65536,0.000275615
mpi_np,sum,4,65536,0.000179964
mpi_np,std,4,65536,0.001054976
mpi_np,slice,4,65536,0.001677469
mpi_np,iterate,4,65536,0.005595923
mpi_np,reshape,4,65536,0.411427665
mpi_np,creation,8,65536,0.072654763
mpi_np,add,8,65536,0.000473891
mpi_np,sub,8,65536,0.000171822
mpi_np,mul,8,65536,0.000165899
mpi_np,div,8,65536,0.000288207
mpi_np,max,8,65536,0.000472240
mpi_np,mean,8,65536,0.000282221
mpi_np,sum,8,65536,0.000160338
mpi_np,std,8,65536,0.001009943
mpi_np,slice,8,65536,0.003338507
mpi_np,iterate,8,65536,0.005415711
mpi_np,reshape,8,65536,0.425839047
mpi_np,creation,16,65536,0.130986654
mpi_np,add,16,65536,0.000439806
mpi_np,sub,16,65536,0.000173841
mpi_np,mul,16,65536,0.000169472
mpi_np,div,16,65536,0.000292507
mpi_np,max,16,65536,0.000666551
mpi_np,mean,16,65536,0.000300452
mpi_np,sum,16,65536,0.000166657
mpi_np,std,16,65536,0.001204079
mpi_np,slice,16,65536,0.006082041
mpi_np,iterate,16,65536,0.005549625
mpi_np,reshape,16,65536,0.429471611
mpi_np,creation,32,65536,0.257615481
mpi_np,add,32,65536,0.000515573
mpi_np,sub,32,65536,0.000174409
mpi_np,mul,32,65536,0.000166599
mpi_np,div,32,65536,0.000288994
mpi_np,max,32,65536,0.000542063
mpi_np,mean,32,65536,0.000338305
mpi_np,sum,32,65536,0.000181666
mpi_np,std,32,65536,0.001057814
mpi_np,slice,32,65536,0.017881137
mpi_np,iterate,32,65536,0.005312971
mpi_np,reshape,32,65536,0.434409943
mpi_np,creation,64,65536,0.521187938
mpi_np,add,64,65536,0.000462008
mpi_np,sub,64,65536,0.000173141
mpi_np,mul,64,65536,0.000167821
mpi_np,div,64,65536,0.000288685
mpi_np,max,64,65536,0.000611895
mpi_np,mean,64,65536,0.000377593
mpi_np,sum,64,65536,0.000233021
mpi_np,std,64,65536,0.001197888
mpi_np,slice,64,65536,0.059230929
mpi_np,iterate,64,65536,0.005415399
mpi_np,reshape,64,65536,0.428336966
mpi_np,creation,128,65536,1.300259228
mpi_np,add,128,65536,0.000696727
mpi_np,sub,128,65536,0.000191698
mpi_np,mul,128,65536,0.000169711
mpi_np,div,128,65536,0.000284834
mpi_np,max,128,65536,0.001653292
mpi_np,mean,128,65536,0.000859744
mpi_np,sum,128,65536,0.000417554
mpi_np,std,128,65536,0.002348201
mpi_np,slice,128,65536,0.202417393
mpi_np,iterate,128,65536,0.005383103
mpi_np,reshape,128,65536,0.435815695
mpi_np,creation,256,65536,2.769180254
mpi_np,add,256,65536,0.000765676
mpi_np,sub,256,65536,0.000300211
mpi_np,mul,256,65536,0.000177650
mpi_np,div,256,65536,0.000284970
mpi_np,max,256,65536,0.003010543
mpi_np,mean,256,65536,0.002709980
mpi_np,sum,256,65536,0.000445758
mpi_np,std,256,65536,0.002640706
mpi_np,slice,256,65536,0.797070478
mpi_np,iterate,256,65536,0.005372040
mpi_np,reshape,256,65536,0.442131619
mpi_np,creation,512,65536,8.119789130
mpi_np,add,512,65536,0.000799720
mpi_np,sub,512,65536,0.000272471
mpi_np,mul,512,65536,0.000175203
mpi_np,div,512,65536,0.000284773
mpi_np,max,512,65536,0.007247972
mpi_np,mean,512,65536,0.006396191
mpi_np,sum,512,65536,0.001108432
mpi_np,std,512,65536,0.005802308
mpi_np,slice,512,65536,3.412222447
mpi_np,iterate,512,65536,0.005466473
mpi_np,reshape,512,65536,0.458094636
