"Type","Op","Num_Proc","Size","Time"
mpi_np,collect_data,1,65536,0.000730765
mpi_np,collect_data,2,65536,0.002247302
mpi_np,collect_data,4,65536,0.041362428
mpi_np,collect_data,8,65536,0.090727876
mpi_np,collect_data,16,65536,0.127945261
mpi_np,collect_data,32,65536,0.223877401
mpi_np,collect_data,64,65536,0.465941658
mpi_np,collect_data,128,65536,1.073416877
mpi_np,collect_data,256,65536,3.225864709
mpi_np,collect_data,512,65536,9.674848218
mpi_np,collect_data,1,65536,0.001265650
mpi_np,collect_data,2,65536,0.002180576
mpi_np,collect_data,4,65536,0.037972042
mpi_np,collect_data,8,65536,0.068711086
mpi_np,collect_data,16,65536,0.126890709
mpi_np,collect_data,32,65536,0.229247341
mpi_np,collect_data,64,65536,0.439582734
mpi_np,collect_data,128,65536,1.057116009
mpi_np,collect_data,256,65536,2.966553018
mpi_np,collect_data,512,65536,9.643269480
mpi_np,collect_data,1,65536,0.000724999
mpi_np,collect_data,2,65536,0.002250364
mpi_np,collect_data,4,65536,0.031994296
mpi_np,collect_data,8,65536,0.078842442
mpi_np,collect_data,16,65536,0.111661710
mpi_np,collect_data,32,65536,0.204334040
mpi_np,collect_data,64,65536,0.454228354
mpi_np,collect_data,128,65536,1.074196489
mpi_np,collect_data,256,65536,2.995414696
mpi_np,collect_data,512,65536,9.661740484
mpi_np,collect_data,1,65536,0.001301727
mpi_np,collect_data,2,65536,0.002146746
mpi_np,collect_data,4,65536,0.031400119
mpi_np,collect_data,8,65536,0.074737448
mpi_np,collect_data,16,65536,0.123165605
mpi_np,collect_data,32,65536,0.217845037
mpi_np,collect_data,64,65536,0.448921926
mpi_np,collect_data,128,65536,0.997249359
mpi_np,collect_data,256,65536,3.039162310
mpi_np,collect_data,512,65536,9.500526585
mpi_np,collect_data,1,65536,0.000757577
mpi_np,collect_data,2,65536,0.002219677
mpi_np,collect_data,4,65536,0.026856508
mpi_np,collect_data,8,65536,0.067818633
mpi_np,collect_data,16,65536,0.122389977
mpi_np,collect_data,32,65536,0.206417467
mpi_np,collect_data,64,65536,0.470868201
mpi_np,collect_data,128,65536,1.087051181
mpi_np,collect_data,256,65536,3.064878738
mpi_np,collect_data,512,65536,9.552543015
mpi_np,collect_data,1,65536,0.001340892
mpi_np,collect_data,2,65536,0.002215655
mpi_np,collect_data,4,65536,0.029614591
mpi_np,collect_data,8,65536,0.064649851
mpi_np,collect_data,16,65536,0.116100825
mpi_np,collect_data,32,65536,0.230963124
mpi_np,collect_data,64,65536,0.440967230
mpi_np,collect_data,128,65536,1.059624784
mpi_np,collect_data,256,65536,3.096824497
mpi_np,collect_data,512,65536,9.569288854
mpi_np,collect_data,1,65536,0.000718058
mpi_np,collect_data,2,65536,0.003136149
mpi_np,collect_data,4,65536,0.039026654
mpi_np,collect_data,8,65536,0.064555151
mpi_np,collect_data,16,65536,0.120443719
mpi_np,collect_data,32,65536,0.225040756
mpi_np,collect_data,64,65536,0.467800864
mpi_np,collect_data,128,65536,1.078711185
mpi_np,collect_data,256,65536,3.226402858
mpi_np,collect_data,512,65536,9.409311623
mpi_np,collect_data,1,65536,0.000727715
mpi_np,collect_data,2,65536,0.002188269
mpi_np,collect_data,4,65536,0.028830420
mpi_np,collect_data,8,65536,0.072344305
mpi_np,collect_data,16,65536,0.101004040
mpi_np,collect_data,32,65536,0.201683707
mpi_np,collect_data,64,65536,0.443407944
mpi_np,collect_data,128,65536,1.071578141
mpi_np,collect_data,256,65536,2.941330507
mpi_np,collect_data,512,65536,9.377316148
mpi_np,collect_data,1,65536,0.000708217
mpi_np,collect_data,2,65536,0.002215908
mpi_np,collect_data,4,65536,0.037461563
mpi_np,collect_data,8,65536,0.059335197
mpi_np,collect_data,16,65536,0.114502734
mpi_np,collect_data,32,65536,0.211319238
mpi_np,collect_data,64,65536,0.476141668
mpi_np,collect_data,128,65536,1.067669840
mpi_np,collect_data,256,65536,3.000005557
mpi_np,collect_data,512,65536,9.515064302
mpi_np,collect_data,1,65536,0.001047904
mpi_np,collect_data,2,65536,0.002230797
mpi_np,collect_data,4,65536,0.027864352
mpi_np,collect_data,8,65536,0.064823107
mpi_np,collect_data,16,65536,0.125429810
mpi_np,collect_data,32,65536,0.232067016
mpi_np,collect_data,64,65536,0.483460781
mpi_np,collect_data,128,65536,1.160853352
mpi_np,collect_data,256,65536,3.015784666
mpi_np,collect_data,512,65536,9.625184025
mpi_np,collect_data,1,65536,0.001063102
mpi_np,collect_data,2,65536,0.002207168
mpi_np,collect_data,4,65536,0.031875396
mpi_np,collect_data,8,65536,0.073537328
mpi_np,collect_data,16,65536,0.112697972
mpi_np,collect_data,32,65536,0.232194457
mpi_np,collect_data,64,65536,0.453743994
mpi_np,collect_data,128,65536,1.067684837
mpi_np,collect_data,256,65536,3.101709095
mpi_np,collect_data,512,65536,9.536608758
mpi_np,collect_data,1,65536,0.001317219
mpi_np,collect_data,2,65536,0.002183374
mpi_np,collect_data,4,65536,0.027049481
mpi_np,collect_data,8,65536,0.061807289
mpi_np,collect_data,16,65536,0.130795406
mpi_np,collect_data,32,65536,0.245947422
mpi_np,collect_data,64,65536,0.415428699
mpi_np,collect_data,128,65536,1.066041134
mpi_np,collect_data,256,65536,3.021324932
mpi_np,collect_data,512,65536,9.416531667
mpi_np,collect_data,1,65536,0.000997238
mpi_np,collect_data,2,65536,0.002234202
mpi_np,collect_data,4,65536,0.038592676
mpi_np,collect_data,8,65536,0.064604284
mpi_np,collect_data,16,65536,0.103014231
mpi_np,collect_data,32,65536,0.247845549
mpi_np,collect_data,64,65536,0.436160633
mpi_np,collect_data,128,65536,1.040080110
mpi_np,collect_data,256,65536,3.033553360
mpi_np,collect_data,512,65536,9.310064177
mpi_np,collect_data,1,65536,0.000754187
mpi_np,collect_data,2,65536,0.002202725
mpi_np,collect_data,4,65536,0.029164037
mpi_np,collect_data,8,65536,0.072942832
mpi_np,collect_data,16,65536,0.101442538
mpi_np,collect_data,32,65536,0.247184655
mpi_np,collect_data,64,65536,0.457266837
mpi_np,collect_data,128,65536,1.123879770
mpi_np,collect_data,256,65536,3.015369553
mpi_np,collect_data,512,65536,9.582868070
mpi_np,collect_data,1,65536,0.000732126
mpi_np,collect_data,2,65536,0.002168784
mpi_np,collect_data,4,65536,0.037948150
mpi_np,collect_data,8,65536,0.069648592
mpi_np,collect_data,16,65536,0.124026474
mpi_np,collect_data,32,65536,0.232548695
mpi_np,collect_data,64,65536,0.449620178
mpi_np,collect_data,128,65536,1.035939254
mpi_np,collect_data,256,65536,2.921645134
mpi_np,collect_data,512,65536,9.522497034
mpi_np,collect_data,1,65536,0.001356041
mpi_np,collect_data,2,65536,0.002264467
mpi_np,collect_data,4,65536,0.030077109
mpi_np,collect_data,8,65536,0.070015509
mpi_np,collect_data,16,65536,0.125759757
mpi_np,collect_data,32,65536,0.227123547
mpi_np,collect_data,64,65536,0.456308535
mpi_np,collect_data,128,65536,1.130582431
mpi_np,collect_data,256,65536,3.058952554
mpi_np,collect_data,512,65536,9.550767703
mpi_np,collect_data,1,65536,0.001308336
mpi_np,collect_data,2,65536,0.002267919
mpi_np,collect_data,4,65536,0.035974157
mpi_np,collect_data,8,65536,0.074680175
mpi_np,collect_data,16,65536,0.112906688
mpi_np,collect_data,32,65536,0.196851473
mpi_np,collect_data,64,65536,0.439354433
mpi_np,collect_data,128,65536,1.044434252
mpi_np,collect_data,256,65536,2.928384619
mpi_np,collect_data,512,65536,9.428060364
mpi_np,collect_data,1,65536,0.000727484
mpi_np,collect_data,2,65536,0.002227925
mpi_np,collect_data,4,65536,0.030946279
mpi_np,collect_data,8,65536,0.063997536
mpi_np,collect_data,16,65536,0.115012579
mpi_np,collect_data,32,65536,0.239563492
mpi_np,collect_data,64,65536,0.486346138
mpi_np,collect_data,128,65536,1.049170347
mpi_np,collect_data,256,65536,2.859352447
mpi_np,collect_data,512,65536,9.501438272
mpi_np,collect_data,1,65536,0.001041674
mpi_np,collect_data,2,65536,0.002288297
mpi_np,collect_data,4,65536,0.032868520
mpi_np,collect_data,8,65536,0.067995337
mpi_np,collect_data,16,65536,0.096159515
mpi_np,collect_data,32,65536,0.219924055
mpi_np,collect_data,64,65536,0.474220831
mpi_np,collect_data,128,65536,1.061149717
mpi_np,collect_data,256,65536,3.005428937
mpi_np,collect_data,512,65536,9.461982886
mpi_np,collect_data,1,65536,0.000765441
mpi_np,collect_data,2,65536,0.002219233
mpi_np,collect_data,4,65536,0.032206187
mpi_np,collect_data,8,65536,0.071168892
mpi_np,collect_data,16,65536,0.101907927
mpi_np,collect_data,32,65536,0.249008671
mpi_np,collect_data,64,65536,0.457849308
mpi_np,collect_data,128,65536,1.149029816
mpi_np,collect_data,256,65536,3.080304669
mpi_np,collect_data,512,65536,9.470811858
mpi_np,collect_data,1,65536,0.000730508
mpi_np,collect_data,2,65536,0.002207783
mpi_np,collect_data,4,65536,0.031581059
mpi_np,collect_data,8,65536,0.069770175
mpi_np,collect_data,16,65536,0.105782580
mpi_np,collect_data,32,65536,0.194945259
mpi_np,collect_data,64,65536,0.447269376
mpi_np,collect_data,128,65536,1.065394494
mpi_np,collect_data,256,65536,3.018040471
mpi_np,collect_data,512,65536,9.619699680
mpi_np,collect_data,1,65536,0.001289783
mpi_np,collect_data,2,65536,0.002181299
mpi_np,collect_data,4,65536,0.031453796
mpi_np,collect_data,8,65536,0.063802781
mpi_np,collect_data,16,65536,0.126024032
mpi_np,collect_data,32,65536,0.205529000
mpi_np,collect_data,64,65536,0.448405659
mpi_np,collect_data,128,65536,1.121346009
mpi_np,collect_data,256,65536,3.019780136
mpi_np,collect_data,512,65536,9.553419905
mpi_np,collect_data,1,65536,0.001021955
mpi_np,collect_data,2,65536,0.002196914
mpi_np,collect_data,4,65536,0.035562844
mpi_np,collect_data,8,65536,0.057824632
mpi_np,collect_data,16,65536,0.113498017
mpi_np,collect_data,32,65536,0.246253574
mpi_np,collect_data,64,65536,0.445736728
mpi_np,collect_data,128,65536,1.099235725
mpi_np,collect_data,256,65536,3.042612471
mpi_np,collect_data,512,65536,9.542449929
mpi_np,collect_data,1,65536,0.000723520
mpi_np,collect_data,2,65536,0.002226116
mpi_np,collect_data,4,65536,0.029789315
mpi_np,collect_data,8,65536,0.067896048
mpi_np,collect_data,16,65536,0.102700692
mpi_np,collect_data,32,65536,0.225416873
mpi_np,collect_data,64,65536,0.457993073
mpi_np,collect_data,128,65536,1.088289505
mpi_np,collect_data,256,65536,2.915708366
mpi_np,collect_data,512,65536,9.498923182
mpi_np,collect_data,1,65536,0.001039840
mpi_np,collect_data,2,65536,0.002248648
mpi_np,collect_data,4,65536,0.029003875
mpi_np,collect_data,8,65536,0.073308108
mpi_np,collect_data,16,65536,0.133455964
mpi_np,collect_data,32,65536,0.212926872
mpi_np,collect_data,64,65536,0.471179986
mpi_np,collect_data,128,65536,1.075853244
mpi_np,collect_data,256,65536,3.002276495
mpi_np,collect_data,512,65536,9.497781919
mpi_np,collect_data,1,65536,0.001315254
mpi_np,collect_data,2,65536,0.002171160
mpi_np,collect_data,4,65536,0.028936772
mpi_np,collect_data,8,65536,0.072605353
mpi_np,collect_data,16,65536,0.105611150
mpi_np,collect_data,32,65536,0.232457399
mpi_np,collect_data,64,65536,0.420146741
mpi_np,collect_data,128,65536,1.069969360
mpi_np,collect_data,256,65536,3.039971635
mpi_np,collect_data,512,65536,9.508576367
mpi_np,collect_data,1,65536,0.001047821
mpi_np,collect_data,2,65536,0.002190661
mpi_np,collect_data,4,65536,0.039085618
mpi_np,collect_data,8,65536,0.062698359
mpi_np,collect_data,16,65536,0.115569012
mpi_np,collect_data,32,65536,0.246621829
mpi_np,collect_data,64,65536,0.446208384
mpi_np,collect_data,128,65536,1.118715328
mpi_np,collect_data,256,65536,3.016253390
mpi_np,collect_data,512,65536,9.538020115
mpi_np,collect_data,1,65536,0.001029476
mpi_np,collect_data,2,65536,0.002260893
mpi_np,collect_data,4,65536,0.038180106
mpi_np,collect_data,8,65536,0.077661617
mpi_np,collect_data,16,65536,0.121982705
mpi_np,collect_data,32,65536,0.225224622
mpi_np,collect_data,64,65536,0.461280018
mpi_np,collect_data,128,65536,1.071310380
mpi_np,collect_data,256,65536,3.078038856
mpi_np,collect_data,512,65536,9.399574434
mpi_np,collect_data,1,65536,0.000693797
mpi_np,collect_data,2,65536,0.002163815
mpi_np,collect_data,4,65536,0.044556813
mpi_np,collect_data,8,65536,0.060482632
mpi_np,collect_data,16,65536,0.107226150
mpi_np,collect_data,32,65536,0.226358030
mpi_np,collect_data,64,65536,0.440595037
mpi_np,collect_data,128,65536,1.127000524
mpi_np,collect_data,256,65536,3.006818543
mpi_np,collect_data,512,65536,9.529097345
mpi_np,collect_data,1,65536,0.000743633
mpi_np,collect_data,2,65536,0.002152391
mpi_np,collect_data,4,65536,0.035048480
mpi_np,collect_data,8,65536,0.069051061
mpi_np,collect_data,16,65536,0.121672925
mpi_np,collect_data,32,65536,0.223940497
mpi_np,collect_data,64,65536,0.552478312
mpi_np,collect_data,128,65536,1.109143145
mpi_np,collect_data,256,65536,3.173208683
mpi_np,collect_data,512,65536,9.401459045
mpi_np,collect_data,1,65536,0.000706789
mpi_np,collect_data,2,65536,0.002232827
mpi_np,collect_data,4,65536,0.038022286
mpi_np,collect_data,8,65536,0.062674964
mpi_np,collect_data,16,65536,0.118071479
mpi_np,collect_data,32,65536,0.213837916
mpi_np,collect_data,64,65536,0.454142738
mpi_np,collect_data,128,65536,1.047673082
mpi_np,collect_data,256,65536,3.117236672
mpi_np,collect_data,512,65536,9.550970684
mpi_np,collect_data,1,65536,0.000705727
mpi_np,collect_data,2,65536,0.002212882
mpi_np,collect_data,4,65536,0.025884964
mpi_np,collect_data,8,65536,0.053631735
mpi_np,collect_data,16,65536,0.127404879
mpi_np,collect_data,32,65536,0.218294999
mpi_np,collect_data,64,65536,0.446995753
mpi_np,collect_data,128,65536,1.136333408
mpi_np,collect_data,256,65536,2.931260942
mpi_np,collect_data,512,65536,9.351123672
mpi_np,collect_data,1,65536,0.000740167
mpi_np,collect_data,2,65536,0.002211217
mpi_np,collect_data,4,65536,0.039585509
mpi_np,collect_data,8,65536,0.076277602
mpi_np,collect_data,16,65536,0.104220942
mpi_np,collect_data,32,65536,0.237132867
mpi_np,collect_data,64,65536,0.443575147
mpi_np,collect_data,128,65536,1.151367761
mpi_np,collect_data,256,65536,3.112045461
mpi_np,collect_data,512,65536,9.602128626
mpi_np,collect_data,1,65536,0.000720263
mpi_np,collect_data,2,65536,0.002246024
mpi_np,collect_data,4,65536,0.037907192
mpi_np,collect_data,8,65536,0.063163414
mpi_np,collect_data,16,65536,0.108831270
mpi_np,collect_data,32,65536,0.227292888
mpi_np,collect_data,64,65536,0.491768413
mpi_np,collect_data,128,65536,1.122879661
mpi_np,collect_data,256,65536,3.029213469
mpi_np,collect_data,512,65536,9.461046023
mpi_np,collect_data,1,65536,0.000733406
mpi_np,collect_data,2,65536,0.002203194
mpi_np,collect_data,4,65536,0.037516567
mpi_np,collect_data,8,65536,0.070183998
mpi_np,collect_data,16,65536,0.120772688
mpi_np,collect_data,32,65536,0.250143624
mpi_np,collect_data,64,65536,0.472049717
mpi_np,collect_data,128,65536,1.122115007
mpi_np,collect_data,256,65536,3.088457586
mpi_np,collect_data,512,65536,9.390999639
mpi_np,collect_data,1,65536,0.000717064
mpi_np,collect_data,2,65536,0.002245524
mpi_np,collect_data,4,65536,0.030093300
mpi_np,collect_data,8,65536,0.069088835
mpi_np,collect_data,16,65536,0.114679820
mpi_np,collect_data,32,65536,0.211076319
mpi_np,collect_data,64,65536,0.425922058
mpi_np,collect_data,128,65536,1.106536942
mpi_np,collect_data,256,65536,3.009158431
mpi_np,collect_data,512,65536,9.386077075
mpi_np,collect_data,1,65536,0.001313538
mpi_np,collect_data,2,65536,0.002237500
mpi_np,collect_data,4,65536,0.028257269
mpi_np,collect_data,8,65536,0.091411451
mpi_np,collect_data,16,65536,0.108888475
mpi_np,collect_data,32,65536,0.221619073
mpi_np,collect_data,64,65536,0.444271897
mpi_np,collect_data,128,65536,1.019059885
mpi_np,collect_data,256,65536,3.101389794
mpi_np,collect_data,512,65536,9.523437616
mpi_np,collect_data,1,65536,0.000746895
mpi_np,collect_data,2,65536,0.002258211
mpi_np,collect_data,4,65536,0.024782151
mpi_np,collect_data,8,65536,0.064779695
mpi_np,collect_data,16,65536,0.104682739
mpi_np,collect_data,32,65536,0.229857060
mpi_np,collect_data,64,65536,0.447204041
mpi_np,collect_data,128,65536,1.059130510
mpi_np,collect_data,256,65536,3.109497278
mpi_np,collect_data,512,65536,9.511142280
mpi_np,collect_data,1,65536,0.000738310
mpi_np,collect_data,2,65536,0.002213804
mpi_np,collect_data,4,65536,0.032210220
mpi_np,collect_data,8,65536,0.075522688
