"Type","Op","Size","Time"
np,creation,1,0.000003218
np,add,1,0.000001589
np,sub,1,0.000001638
np,mul,1,0.000001627
np,div,1,0.000002367
np,max,1,0.000003609
np,mean,1,0.000015480
np,sum,1,0.000004475
np,std,1,0.000045523
np,slice,1,0.000000519
np,iterate,1,0.000001636
np,reshape,1,0.000000695
np,creation,2,0.000003241
np,add,2,0.000001593
np,sub,2,0.000001627
np,mul,2,0.000001593
np,div,2,0.000002395
np,max,2,0.000005236
np,mean,2,0.000015716
np,sum,2,0.000004480
np,std,2,0.000045758
np,slice,2,0.000000485
np,iterate,2,0.000001747
np,reshape,2,0.000000713
np,creation,4,0.000003308
np,add,4,0.000001606
np,sub,4,0.000001627
np,mul,4,0.000001602
np,div,4,0.000002419
np,max,4,0.000005257
np,mean,4,0.000015631
np,sum,4,0.000004498
np,std,4,0.000045918
np,slice,4,0.000000493
np,iterate,4,0.000001873
np,reshape,4,0.000000714
np,creation,8,0.000003504
np,add,8,0.000001585
np,sub,8,0.000001634
np,mul,8,0.000001621
np,div,8,0.000002421
np,max,8,0.000005441
np,mean,8,0.000015707
np,sum,8,0.000004559
np,std,8,0.000045827
np,slice,8,0.000000490
np,iterate,8,0.000002234
np,reshape,8,0.000000687
np,creation,16,0.000003867
np,add,16,0.000001616
np,sub,16,0.000001632
np,mul,16,0.000001628
np,div,16,0.000002464
np,max,16,0.000005406
np,mean,16,0.000015722
np,sum,16,0.000004586
np,std,16,0.000046087
np,slice,16,0.000000519
np,iterate,16,0.000002899
np,reshape,16,0.000000711
np,creation,32,0.000004614
np,add,32,0.000001714
np,sub,32,0.000001591
np,mul,32,0.000001589
np,div,32,0.000002514
np,max,32,0.000005633
np,mean,32,0.000016039
np,sum,32,0.000004574
np,std,32,0.000046198
np,slice,32,0.000000472
np,iterate,32,0.000004265
np,reshape,32,0.000000690
np,creation,64,0.000014668
np,add,64,0.000016860
np,sub,64,0.000005310
np,mul,64,0.000006074
np,div,64,0.000008375
np,max,64,0.000033581
np,mean,64,0.000040888
np,sum,64,0.000009452
np,std,64,0.000072759
np,slice,64,0.000004578
np,iterate,64,0.000017894
np,reshape,64,0.000004809
np,creation,128,0.000016736
np,add,128,0.000015422
np,sub,128,0.000006088
np,mul,128,0.000006247
np,div,128,0.000008787
np,max,128,0.000032254
np,mean,128,0.000038228
np,sum,128,0.000009500
np,std,128,0.000073516
np,slice,128,0.000004964
np,iterate,128,0.000022893
np,reshape,128,0.000004873
np,creation,256,0.000022873
np,add,256,0.000015531
np,sub,256,0.000006458
np,mul,256,0.000006193
np,div,256,0.000009493
np,max,256,0.000032970
np,mean,256,0.000039132
np,sum,256,0.000009222
np,std,256,0.000074834
np,slice,256,0.000004613
np,iterate,256,0.000033193
np,reshape,256,0.000004391
np,creation,512,0.000033977
np,add,512,0.000016776
np,sub,512,0.000007061
np,mul,512,0.000007044
np,div,512,0.000011248
np,max,512,0.000033596
