"Type","Op","Size","Time"
np,empty,1,0.000003057
np,arange,1,0.000002226
np,setting,1,0.000000189
np,getting,1,0.000000183
np,empty,2,0.000003097
np,arange,2,0.000002328
np,setting,2,0.000000195
np,getting,2,0.000000181
np,empty,4,0.000003111
np,arange,4,0.000002724
np,setting,4,0.000000189
np,getting,4,0.000000183
np,empty,8,0.000003032
np,arange,8,0.000002703
np,setting,8,0.000000184
np,getting,8,0.000000182
np,empty,16,0.000003069
np,arange,16,0.000002768
np,setting,16,0.000000185
np,getting,16,0.000000185
np,empty,32,0.000003068
np,arange,32,0.000002852
np,setting,32,0.000000188
np,getting,32,0.000000181
np,empty,64,0.000005092
np,arange,64,0.000004565
np,setting,64,0.000000192
np,getting,64,0.000000181
np,empty,128,0.000004421
np,arange,128,0.000005140
np,setting,128,0.000000183
np,getting,128,0.000000183
np,empty,256,0.000004247
np,arange,256,0.000005539
np,setting,256,0.000000185
np,getting,256,0.000000182
np,empty,512,0.000004251
np,arange,512,0.000006758
np,setting,512,0.000000184
np,getting,512,0.000000175
np,empty,1024,0.000004144
np,arange,1024,0.000010089
np,setting,1024,0.000000186
np,getting,1024,0.000000182
np,empty,2048,0.000004205
np,arange,2048,0.000013936
np,setting,2048,0.000000182
np,getting,2048,0.000000180
np,empty,4096,0.000004374
np,arange,4096,0.000023202
np,setting,4096,0.000000175
np,getting,4096,0.000000177
np,empty,8192,0.000004245
np,arange,8192,0.000042698
np,setting,8192,0.000000183
np,getting,8192,0.000000181
np,empty,16384,0.000008617
np,arange,16384,0.000085964
np,setting,16384,0.000000177
np,getting,16384,0.000000178
np,empty,32768,0.000006800
np,arange,32768,0.000165317
np,setting,32768,0.000000181
np,getting,32768,0.000000181
np,empty,65536,0.000007867
np,arange,65536,0.000329260
np,setting,65536,0.000000175
np,getting,65536,0.000000177
np,empty,131072,0.000007648
np,arange,131072,0.000650483
np,setting,131072,0.000000181
np,getting,131072,0.000000181
np,empty,262144,0.000014092
np,arange,262144,0.001295064
np,setting,262144,0.000000183
np,getting,262144,0.000000186
np,empty,524288,0.000014755
