"Type","Op","Size","Time"
np,creation,1,0.000003269
np,add,1,0.000001646
np,sub,1,0.000001608
np,mul,1,0.000001666
np,div,1,0.000002312
np,max,1,0.000003373
np,mean,1,0.000016412
np,sum,1,0.000004507
np,std,1,0.000044771
np,slice,1,0.000000383
np,iterate,1,0.000001674
np,reshape,1,0.000000654
np,creation,2,0.000003296
np,add,2,0.000001613
np,sub,2,0.000001555
np,mul,2,0.000001673
np,div,2,0.000002268
np,max,2,0.000005096
np,mean,2,0.000014794
np,sum,2,0.000004503
np,std,2,0.000044690
np,slice,2,0.000000364
np,iterate,2,0.000001747
np,reshape,2,0.000000675
np,creation,4,0.000003414
np,add,4,0.000001632
np,sub,4,0.000001576
np,mul,4,0.000001715
np,div,4,0.000002308
np,max,4,0.000005153
np,mean,4,0.000014715
np,sum,4,0.000004567
np,std,4,0.000044640
np,slice,4,0.000000369
np,iterate,4,0.000001917
np,reshape,4,0.000000674
np,creation,8,0.000003575
np,add,8,0.000001637
np,sub,8,0.000001578
np,mul,8,0.000001721
np,div,8,0.000002312
np,max,8,0.000005251
np,mean,8,0.000014789
np,sum,8,0.000004596
np,std,8,0.000044601
np,slice,8,0.000000366
np,iterate,8,0.000002219
np,reshape,8,0.000000686
np,creation,16,0.000003933
np,add,16,0.000001614
np,sub,16,0.000001586
np,mul,16,0.000001698
np,div,16,0.000002314
np,max,16,0.000005248
np,mean,16,0.000014814
np,sum,16,0.000004566
np,std,16,0.000044883
np,slice,16,0.000000392
np,iterate,16,0.000002882
np,reshape,16,0.000000668
np,creation,32,0.000004652
np,add,32,0.000001799
np,sub,32,0.000001587
np,mul,32,0.000001717
np,div,32,0.000002376
np,max,32,0.000005515
np,mean,32,0.000014839
np,sum,32,0.000004391
np,std,32,0.000045242
np,slice,32,0.000000414
np,iterate,32,0.000004270
np,reshape,32,0.000000658
np,creation,64,0.000014681
np,add,64,0.000018311
np,sub,64,0.000005643
np,mul,64,0.000006300
np,div,64,0.000007810
np,max,64,0.000039164
np,mean,64,0.000040635
np,sum,64,0.000009274
np,std,64,0.000073726
np,slice,64,0.000005782
np,iterate,64,0.000020449
np,reshape,64,0.000004808
np,creation,128,0.000016469
np,add,128,0.000018771
np,sub,128,0.000006647
np,mul,128,0.000006314
np,div,128,0.000008386
np,max,128,0.000038092
np,mean,128,0.000040082
np,sum,128,0.000009324
np,std,128,0.000076765
np,slice,128,0.000005017
np,iterate,128,0.000025523
np,reshape,128,0.000004815
np,creation,256,0.000023624
np,add,256,0.000017955
np,sub,256,0.000006645
np,mul,256,0.000006830
np,div,256,0.000008936
np,max,256,0.000036015
np,mean,256,0.000039170
np,sum,256,0.000009010
np,std,256,0.000076053
np,slice,256,0.000004698
np,iterate,256,0.000035688
np,reshape,256,0.000004921
np,creation,512,0.000034560
np,add,512,0.000019660
np,sub,512,0.000006981
np,mul,512,0.000007217
np,div,512,0.000010559
np,max,512,0.000039666
np,mean,512,0.000040693
np,sum,512,0.000010217
np,std,512,0.000079303
np,slice,512,0.000005907
np,iterate,512,0.000066395
np,reshape,512,0.000004917
np,creation,1024,0.000057499
np,add,1024,0.000020280
np,sub,1024,0.000007736
np,mul,1024,0.000007781
np,div,1024,0.000012348
np,max,1024,0.000040369
np,mean,1024,0.000041495
np,sum,1024,0.000010426
np,std,1024,0.000080827
np,slice,1024,0.000005306
np,iterate,1024,0.000098185
np,reshape,1024,0.000004952
np,creation,2048,0.000102805
np,add,2048,0.000021581
np,sub,2048,0.000009018
np,mul,2048,0.000008794
np,div,2048,0.000017172
np,max,2048,0.000042049
np,mean,2048,0.000043467
np,sum,2048,0.000011103
np,std,2048,0.000115715
np,slice,2048,0.000005081
np,iterate,2048,0.000180875
np,reshape,2048,0.000005241
np,creation,4096,0.000199141
np,add,4096,0.000026249
np,sub,4096,0.000011833
np,mul,4096,0.000011043
np,div,4096,0.000024833
np,max,4096,0.000047652
np,mean,4096,0.000045693
np,sum,4096,0.000012874
np,std,4096,0.000094029
np,slice,4096,0.000005326
np,iterate,4096,0.000349381
np,reshape,4096,0.000005674
np,creation,8192,0.000385516
np,add,8192,0.000036824
np,sub,8192,0.000015594
np,mul,8192,0.000015971
np,div,8192,0.000041655
np,max,8192,0.000055116
np,mean,8192,0.000055166
np,sum,8192,0.000016802
np,std,8192,0.000116417
np,slice,8192,0.000006559
np,iterate,8192,0.000685611
np,reshape,8192,0.000005882
np,creation,16384,0.000825311
np,add,16384,0.000059298
np,sub,16384,0.000032343
np,mul,16384,0.000031325
np,div,16384,0.000075152
np,max,16384,0.000074845
np,mean,16384,0.000067273
np,sum,16384,0.000023590
np,std,16384,0.000171399
np,slice,16384,0.000007328
